10000 23000
2916 8978 37
8636 2336 120
826 6489 467
1164 8126 157
9734 6788 138
8950 8652 422
7288 456 154
4349 2577 25
5070 9564 385
4504 8383 16
1034 3432 349
5330 2940 262
6306 4426 120
5633 3035 218
516 8722 73
858 5458 379
1586 5263 63
2859 1712 170
9642 603 56
7742 617 139
2723 986 455
9928 3673 456
442 4549 449
6284 9591 287
2061 1473 356
5406 4758 277
7725 3016 163
1140 5022 80
6838 4227 196
2736 3963 136
3614 6658 444
6177 2570 369
4832 2716 388
8621 5048 266
1178 1484 371
6297 4073 277
9473 954 443
7934 2858 279
8441 5054 344
5383 3498 458
6338 4832 85
92 1107 406
8588 2213 334
744 9914 67
2603 3064 34
31 4966 490
424 867 386
6613 6059 16
1981 7645 315
8718 2454 160
8290 6888 295
8416 1494 205
7184 9608 160
2467 9824 335
411 5598 62
3489 2914 85
5374 5355 116
9869 3078 133
1662 7690 439
1474 2933 130
7840 4428 377
683 813 176
4632 6385 400
73 812 480
8472 4628 296
3159 9625 474
4983 2808 456
469 454 402
8879 248 247
6929 9240 434
5607 49 158
7644 7013 49
5168 406 279
7485 925 243
6009 9650 320
2660 2776 85
1636 35 45
3214 4206 108
8229 1014 70
5808 451 16
3456 3268 404
8692 2049 152
5090 5769 4
1437 704 248
5916 4379 289
5380 5506 43
9316 1408 228
4076 6347 91
3382 9588 258
2182 2648 18
3781 279 491
7921 184 173
8295 5952 408
404 5529 264
8039 382 442
1165 2168 190
8468 4321 403
3856 3675 157
6473 4037 410
2425 5613 77
7287 1238 190
8662 349 37
2601 263 469
9859 9369 92
3551 3192 99
7524 8821 333
8265 9876 8
5309 5550 318
6006 7653 185
4966 5980 138
9925 1299 417
9411 2002 314
8866 2604 256
5734 7287 79
324 3752 210
1725 2529 469
1055 1770 109
1779 4264 292
6060 9841 430
3061 9416 65
2683 20 82
2609 645 103
3180 9766 479
1738 5888 215
7218 166 27
145 3479 370
229 209 395
2022 1368 51
1435 4827 227
6705 3173 265
6441 139 371
8796 6998 462
1330 1996 365
8326 5186 131
646 1065 176
565 7839 277
9928 6909 354
9897 4773 411
4117 1190 89
1435 6900 315
2841 5269 242
6463 5800 227
606 5474 14
2663 2336 347
5820 174 281
5036 7795 340
5295 7035 426
9320 5888 147
336 1454 108
6170 6090 415
4189 6538 324
1429 9907 197
8021 9316 369
7494 3684 260
2746 3760 82
6532 8259 113
8154 1638 71
9547 9246 356
7768 738 182
2251 6930 78
438 8762 226
7170 4160 220
6701 242 188
3030 5001 224
4312 9331 422
5273 1966 337
1144 1135 316
4265 3485 22
6418 1469 490
371 9890 21
6115 6047 161
2743 2898 168
404 972 260
1344 4553 376
2778 603 318
6771 4101 443
2838 9457 185
